pid|creator_email|project_name|tag|project_date|day_of_week|start_time|end_time|curr_capacity|goal_capacity|city|state|description,,
"|""""|libero|Aliquam|10/21/2018|thursday|13|19|0|50|Hilo|HI|""""",,
"|""""|metus|pede|02/22/2019|sunday|18|15|0|25|Springfield|MA|""""",,
"|""""|venenatis|vitae|07/03/2017|friday|20|10|0|50|Georgia|GA|""""",,
"|""""|augue.|dis|02/09/2018|tuesday|14|20|0|5|Bellevue|NE|""""",,
"|""""|Donec|quis","|04/14/2018|saturday|19|20|0|50|Owensboro|KY|""""",
"|""""|at","|ut|09/20/2018|saturday|18|21|0|50|Rockville|MD|""""",
"|""""|ante|vestibulum|09/07/2018|friday|14|12|0|5|Kansas City|MO|""""",,
"|""""|mus.|euismod|01/22/2017|friday|13|14|0|25|Jackson|MS|""""",,
"|""""|a|vulputate|12/07/2018|sunday|20|13|0|10|Hartford|CT|""""",,
"|""""|sed|sit|01/31/2018|sunday|13|17|0|10|Butte|MT|""""",,
"|""""|sed|risus.|01/03/2018|friday|9|16|0|5|Columbia|MD|""""",,
"|""""|aliquam|Suspendisse|06/12/2018|monday|17|9|0|10|San Diego|CA|""""",,
"|""""|dis|ligula|05/22/2016|friday|10|22|0|10|Mesa|AZ|""""",,
"|""""|enim.|mauris|08/22/2018|sunday|16|17|0|5|Laramie|WY|""""",,
"|""""|Nam|mollis.|04/15/2016|sunday|16|12|0|5|Augusta|ME|""""",,
"|""""|diam|Suspendisse|12/24/2017|sunday|16|20|0|25|Duluth|MN|""""",,
"|""""|sodales.|et|09/17/2016|wednesday|8|14|0|10|Newark|DE|""""",,
"|""""|convallis|vel","|03/11/2019|monday|11|15|0|25|Columbia|MD|""""",
"|""""|purus|tempor|04/22/2018|monday|9|17|0|5|Rock Springs|WY|""""",,
"|""""|nec|Sed|02/20/2019|monday|9|11|0|5|Wichita|KS|""""",,
"|""""|sociis|Phasellus|11/19/2018|sunday|17|11|0|5|Gresham|OR|""""",,
"|""""|eget|aliquam|08/01/2018|wednesday|19|19|0|50|Erie|PA|""""",,
"|""""|Nunc|est","|01/18/2017|thursday|14|21|0|10|Pike Creek|DE|""""",
"|""""|nec|bibendum|02/03/2018|sunday|10|22|0|50|Salt Lake City|UT|""""",,
"|""""|risus","|tristique|04/02/2018|monday|17|19|0|10|Springfield|MA|""""",
"|""""|habitant|ac|03/19/2018|wednesday|11|9|0|10|Great Falls|MT|""""",,
"|""""|luctus.|quis|04/25/2017|thursday|13|15|0|5|South Bend|IN|""""",,
"|""""|Vivamus|consectetuer|05/12/2018|sunday|12|16|0|50|Columbus|GA|""""",,
"|""""|elit","|arcu.|10/07/2018|wednesday|9|20|0|50|Sterling Heights|MI|""""",
"|""""|ligula.|justo|07/25/2018|friday|15|12|0|50|Phoenix|AZ|""""",,
"|""""|magna.|quam","|11/24/2017|sunday|14|11|0|5|Spokane|WA|""""",
"|""""|eu|Proin|03/03/2017|tuesday|8|14|0|25|Fort Collins|CO|""""",,
"|""""|lacus.|non|04/30/2016|friday|18|16|0|25|Hartford|CT|""""",,
"|""""|mus.|non","|08/23/2016|sunday|13|21|0|5|Boston|MA|""""",
"|""""|aliquam|dui","|12/23/2018|sunday|15|21|0|10|Hattiesburg|MS|""""",
"|""""|condimentum.|ligula|09/14/2016|sunday|10|19|0|50|Racine|WI|""""",,
"|""""|eu","|Morbi|05/31/2017|sunday|13|15|0|50|Cedar Rapids|IA|""""",
"|""""|magna|ornare.|06/20/2016|friday|13|22|0|10|Detroit|MI|""""",,
"|""""|dui|enim.|04/25/2018|wednesday|20|20|0|50|Eugene|OR|""""",,
"|""""|in","|ac|11/13/2017|wednesday|16|20|0|50|Honolulu|HI|""""",
"|""""|consequat|faucibus|07/24/2016|friday|14|13|0|10|Lewiston|ME|""""",,
"|""""|turpis|tellus|08/18/2016|wednesday|20|17|0|10|San Diego|CA|""""",,
"|""""|at","|eleifend|02/13/2019|sunday|20|17|0|50|Houston|TX|""""",
"|""""|Phasellus|Donec|10/09/2017|friday|17|15|0|50|Pike Creek|DE|""""",,
"|""""|venenatis|Ut|10/14/2017|sunday|12|13|0|10|Lafayette|LA|""""",,
"|""""|vel|hendrerit|08/11/2017|wednesday|8|9|0|25|College|AK|""""",,
"|""""|Quisque|In|05/30/2017|saturday|18|22|0|50|Gulfport|MS|""""",,
"|""""|adipiscing|a","|02/22/2016|saturday|15|22|0|50|Baltimore|MD|""""",
"|""""|non","|arcu|04/19/2018|thursday|18|22|0|50|Mesa|AZ|""""",
"|""""|Duis|id","|06/09/2018|saturday|12|15|0|50|Southaven|MS|""""",
"|""""|quis","|erat|09/11/2016|friday|8|15|0|5|Owensboro|KY|""""",
"|""""|tincidunt","|eu|10/06/2018|monday|14|10|0|25|Athens|GA|""""",
"|""""|gravida|nec|11/30/2018|tuesday|19|11|0|50|Honolulu|HI|""""",,
"|""""|lacinia|Pellentesque|01/20/2017|monday|12|12|0|25|Flint|MI|""""",,
"|""""|orci|sapien","|01/03/2016|thursday|11|9|0|5|Boston|MA|""""",
"|""""|massa|ac|08/20/2016|sunday|13|13|0|50|Seattle|WA|""""",,
"|""""|arcu.|tellus|04/27/2016|wednesday|9|18|0|25|South Bend|IN|""""",,
"|""""|consectetuer|augue|10/25/2018|monday|9|15|0|50|Biloxi|MS|""""",,
"|""""|fermentum|mattis|03/22/2017|wednesday|10|12|0|5|Rock Springs|WY|""""",,
"|""""|hendrerit|euismod|07/22/2018|wednesday|10|17|0|5|Glendale|AZ|""""",,
"|""""|semper","|massa.|01/09/2016|wednesday|15|9|0|25|Annapolis|MD|""""",
"|""""|rutrum|tortor|07/05/2018|sunday|18|15|0|5|Missoula|MT|""""",,
"|""""|risus.|egestas|02/18/2017|sunday|15|12|0|25|Grand Island|NE|""""",,
