email,day_of_week,start_time,end_time
,wednesday,10,13
,wednesday,17,18
,monday,16,18
,monday,20,12
,monday,15,20
,friday,11,9
,sunday,16,14
,sunday,19,10
,sunday,16,9
,saturday,11,19
,wednesday,19,11
,thursday,19,10
,saturday,12,18
,wednesday,16,10
,tuesday,19,21
,wednesday,15,14
,sunday,9,14
,monday,9,21
,tuesday,20,15
,saturday,9,19
,monday,14,14
,monday,17,20
,thursday,8,17
,sunday,18,20
,thursday,17,17
,thursday,17,13
,monday,8,9
,thursday,8,9
,monday,12,14
,wednesday,15,11
,friday,13,19
,saturday,11,9
,tuesday,15,10
,monday,12,13
,monday,20,9
,saturday,14,18
,tuesday,12,19
,sunday,19,14
,sunday,17,16
,thursday,11,17
,tuesday,20,9
,sunday,20,10
,wednesday,17,21
,thursday,12,9
,wednesday,14,19
,thursday,9,20
,wednesday,13,14
,wednesday,10,18
,wednesday,10,11
,friday,11,13
,friday,12,13
,monday,20,17
,saturday,9,9
,thursday,8,10
,saturday,8,19
,monday,14,17
,saturday,11,16
,saturday,11,20
,monday,13,17
,wednesday,13,13
,wednesday,8,15
,tuesday,15,9
,friday,17,10
,sunday,12,14
,tuesday,9,9
,thursday,12,13
,thursday,16,18
,wednesday,17,9
,wednesday,8,13
,saturday,16,14
,sunday,10,9
,sunday,9,12
,tuesday,14,15
,sunday,16,20
,friday,9,16
,monday,8,14
,saturday,9,10
,wednesday,15,9
,tuesday,17,9
,sunday,11,14
,sunday,9,18
,sunday,10,15
,thursday,10,21
,sunday,8,11
,thursday,13,14
,tuesday,15,13
,saturday,16,17
,thursday,17,10
,friday,11,9
,tuesday,17,17
,wednesday,19,20
,thursday,20,16
,thursday,9,16
,monday,13,19
,wednesday,14,13
,saturday,16,18
,sunday,17,9
,friday,20,20
,friday,16,14
,tuesday,10,20
,friday,8,17
,thursday,20,20
,thursday,14,15
,saturday,15,18
,tuesday,17,13
,sunday,9,20
,friday,18,19
,wednesday,13,11
,friday,14,14
,sunday,15,19
,saturday,17,10
,thursday,11,14
,thursday,19,20
,wednesday,16,12
,saturday,17,13
,saturday,10,12
,friday,18,17
,monday,15,16
,tuesday,10,19
,saturday,15,16
,friday,14,21
,friday,10,15
,friday,13,9
,friday,18,15
,wednesday,16,10
,monday,20,12
,wednesday,11,12
,friday,12,18
,tuesday,15,17
,wednesday,9,19
,sunday,14,14
,monday,15,14
,saturday,20,21
,tuesday,15,14
,sunday,17,16
,thursday,10,20
,sunday,17,11
,sunday,15,16
,saturday,14,19
,monday,19,20
,wednesday,8,11
,friday,14,19
,monday,20,16
,tuesday,11,17
,saturday,17,15
,wednesday,16,19
,wednesday,12,9
,monday,12,19
,monday,8,17
,wednesday,11,13
,friday,17,16
,saturday,8,12
,saturday,20,13
,tuesday,17,19
,sunday,19,14
,monday,17,14
,tuesday,15,14
,sunday,11,12
,saturday,20,14
,sunday,16,17
,friday,16,19
,sunday,17,18
,tuesday,8,18
,sunday,17,19
,monday,20,20
,friday,15,9
,thursday,20,19
,thursday,19,21
,wednesday,12,15
,monday,16,20
,friday,10,13
,thursday,13,11
,wednesday,17,10
